Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural gas,Large hydro,Batteries,Imports,Other
00:00,-28,2375,916,298,211,164,21,1568,8212,1348,-23,5929,0
00:05,-28,2404,916,298,210,163,22,1568,7989,1158,-5,6269,0
00:10,-28,2438,916,297,210,160,22,1568,7876,1129,23,6389,0
00:15,-28,2493,914,295,210,160,22,1569,7828,1046,-5,6380,0
00:20,-28,2540,917,296,210,160,22,1569,7779,1041,-5,6370,0
00:25,-28,2597,917,296,211,161,23,1567,7731,1037,-5,6288,0
00:30,-28,2664,917,297,210,161,22,1571,7703,1031,-33,6166,0
00:35,-28,2694,917,296,211,161,21,1568,7902,795,-35,6276,0
00:40,-28,2766,916,297,210,161,21,1568,8014,709,-17,6260,0
00:45,-28,2840,918,297,211,160,21,1568,7988,704,-34,6140,0
00:50,-27,2923,917,296,211,161,22,1568,7881,710,-16,6109,0
00:55,-28,3013,916,295,210,161,22,1568,7773,698,-13,6005,0
01:00,-28,3078,916,295,211,160,22,1567,7784,671,3,5922,0
01:05,-28,3139,916,295,211,161,22,1567,7894,668,-5,5765,0
01:10,-27,3202,915,296,211,161,22,1568,7905,671,-21,5602,0
01:15,-28,3207,915,296,211,161,22,1566,7883,671,-18,5561,0
01:20,-28,3273,915,297,211,161,22,1567,7861,668,-32,5466,0
01:25,-28,3358,917,296,211,161,23,1567,7600,677,-23,5586,0
01:30,-28,3405,918,295,211,161,23,1566,7407,685,-17,5608,0
01:35,-28,3455,918,295,211,161,22,1566,7389,673,-21,5572,0
01:40,-28,3480,918,296,211,160,23,1566,7409,676,-18,5461,0
01:45,-28,3506,918,296,211,159,22,1565,7344,670,-18,5468,0
01:50,-28,3541,912,295,211,159,22,1565,7254,667,-19,5478,0
01:55,-28,3565,915,295,211,159,22,1565,7173,668,-23,5499,0
02:00,-28,3585,916,296,211,159,22,1565,7209,667,-58,5417,0
02:05,-28,3586,916,294,211,159,22,1564,7135,662,-30,5398,0
02:10,-28,3590,916,294,211,160,23,1564,7049,661,-21,5425,0
02:15,-28,3582,915,295,211,161,22,1564,7091,655,-25,5351,0
02:20,-28,3559,915,295,211,160,23,1565,7182,486,-38,5479,0
02:25,-28,3589,916,295,211,160,22,1566,7527,336,1,5472,0
02:30,-28,3590,917,296,211,160,22,1565,7555,335,-14,5423,0
02:35,-28,3588,917,296,211,160,22,1564,7526,336,-14,5405,0
02:40,-28,3527,917,296,211,160,22,1566,7496,342,-17,5458,0
02:45,-28,3509,917,296,211,160,22,1565,7503,345,-19,5456,0
02:50,-28,3512,917,294,212,160,22,1565,7499,335,-17,5448,0
02:55,-28,3536,916,293,212,159,22,1566,7488,343,-17,5445,0
03:00,-28,3543,916,293,212,159,22,1564,7526,340,-21,5337,0
03:05,-28,3532,915,295,212,161,23,1564,7588,347,-51,5356,0
03:10,-28,3518,915,296,212,162,22,1564,7555,352,-29,5372,0
03:15,-28,3487,914,295,212,162,22,1564,7526,343,-17,5430,0
03:20,-28,3439,914,295,212,162,22,1566,7505,336,-16,5481,0
03:25,-28,3403,914,296,212,162,22,1566,7478,334,-11,5566,0
03:30,-28,3358,915,295,213,161,22,1565,7534,334,-9,5561,0
03:35,-28,3324,916,295,213,161,22,1564,7543,331,-7,5572,0
03:40,-29,3267,917,295,213,160,22,1565,7596,332,-7,5574,0
03:45,-29,3245,916,294,213,160,22,1565,7632,335,-7,5531,0
03:50,-29,3234,917,295,213,161,22,1565,7295,641,-27,5429,0
03:55,-29,3200,917,296,212,160,22,1566,7201,647,7,5380,0
04:00,-29,3161,916,296,213,160,22,1565,7257,646,-6,5406,0
04:05,-29,3128,917,296,212,165,23,1565,7241,711,29,5479,0
04:10,-29,3100,917,296,212,193,23,1564,7288,752,39,5467,0
04:15,-29,3073,917,296,212,200,23,1565,7344,750,39,5490,0
04:20,-29,3013,917,296,211,200,23,1565,7436,752,39,5515,0
