Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other
00:00,-51,2864,786,233,207,109,17,2262,10430,1143,-57,6224,0
00:05,-51,2892,786,234,207,110,17,2262,10777,1050,-47,6012,0
00:10,-50,2925,785,231,204,110,17,2263,10995,1013,-59,5797,0
00:15,-51,2993,785,231,201,110,17,2262,10964,1014,-48,5692,0
00:20,-51,3032,785,230,200,110,17,2263,10809,1014,-5,5726,0
00:25,-51,3058,785,231,200,110,17,2261,10635,1012,-6,5810,0
00:30,-51,3057,786,232,200,110,17,2262,10557,1008,-6,5766,0
00:35,-51,3091,786,232,200,110,16,2261,10610,1002,-8,5665,0
00:40,-51,3114,786,231,200,110,17,2260,10402,1003,-13,5612,0
00:45,-50,3111,786,232,201,109,17,2260,10220,994,-31,5642,0
00:50,-50,3090,785,233,200,109,16,2259,10285,999,-71,5596,0
00:55,-50,3083,786,233,200,109,16,2259,10189,999,-49,5582,0
01:00,-50,3106,785,233,200,109,17,2259,10088,1013,-56,5559,0
01:05,-51,3105,785,234,201,110,17,2258,9684,1047,-66,5931,0
01:10,-51,3086,785,233,202,110,17,2256,9352,1069,4,6064,0
01:15,-51,3076,785,231,203,111,17,2256,9252,1071,-38,6147,0
01:20,-50,3043,785,231,205,111,17,2256,9185,1064,-41,6195,0
01:25,-51,3020,785,229,207,111,16,2257,9227,1057,-47,6126,0
01:30,-51,2998,786,230,208,111,16,2257,9177,1057,-61,6151,0
01:35,-51,2997,785,231,208,110,16,2257,9101,1061,-43,6152,0
01:40,-50,3021,785,232,208,110,16,2256,8995,1066,-57,6154,0
01:45,-50,3036,785,233,208,110,16,2257,8964,1067,-59,6128,0
01:50,-50,3019,784,233,209,110,16,2256,8943,1072,-40,6072,0
01:55,-50,3010,784,234,208,110,16,2257,8942,1067,-47,6010,0
02:00,-50,2982,785,233,208,109,16,2257,8919,1067,-47,5980,0
02:05,-50,2969,781,232,208,110,16,2257,8772,1060,-81,6114,0
02:10,-51,2946,787,233,208,112,16,2256,8769,1069,-87,6080,0
02:15,-51,2927,786,233,209,112,16,2257,8687,1070,-79,6100,0
02:20,-50,2923,786,233,208,112,15,2257,8628,1072,-84,6144,0
02:25,-50,2934,786,231,209,112,15,2256,8605,1068,-93,6086,0
02:30,-50,2901,786,232,208,112,15,2256,8589,1068,-84,6053,0
02:35,-51,2876,785,231,208,112,15,2257,8545,1070,-33,6039,0
02:40,-50,2871,784,231,208,111,16,2255,8443,1077,-26,6062,0
02:45,-51,2872,785,231,208,111,15,2256,8442,1076,-77,6065,0
02:50,-50,2877,785,231,208,111,16,2256,8461,1076,-106,6088,0
02:55,-49,2879,785,230,209,111,15,2256,8437,1062,-73,6024,0
03:00,-49,2845,785,231,209,111,15,2257,8511,1057,-81,5938,0
03:05,-49,2825,784,234,209,112,15,2258,8519,1061,-68,5925,0
03:10,-49,2834,781,232,208,113,16,2258,8454,1068,-29,5941,0
03:15,-49,2836,780,230,208,113,15,2257,8405,1068,0,5947,0
03:20,-50,2825,780,228,208,113,15,2257,8372,1072,1,5975,0
03:25,-50,2843,779,230,208,113,16,2257,8356,1077,-8,5974,0
03:30,-50,2855,779,231,209,113,16,2257,8371,1076,-31,6004,0
03:35,-49,2922,781,233,208,113,15,2258,8373,1073,-53,5994,0
03:40,-49,2971,781,233,208,112,16,2257,8403,1072,-74,5984,0
03:45,-47,2979,781,233,208,112,16,2258,8391,1072,-85,5959,0
03:50,-41,2945,781,233,208,112,16,2258,8332,1079,-73,5976,0
03:55,-41,2861,781,232,208,112,16,2259,8344,1090,-56,5969,0
04:00,-41,2824,781,233,208,112,16,2258,8363,1095,-57,5993,0
04:05,-41,2801,782,233,209,112,16,2259,8567,1093,-82,5958,0
04:10,-41,2784,781,231,208,112,16,2260,8689,1086,-68,5943,0
04:15,-41,2753,781,231,208,112,16,2259,8709,1085,-55,5968,0
04:20,-41,2761,781,231,208,111,16,2260,8705,1092,-66,5971,0
04:25,-41,2757,781,230,208,111,16,2259,8741,1091,-88,6038,0
04:30,-41,2768,781,231,208,111,16,2260,8766,1091,-87,6065,0
04:35,-41,2764,781,230,208,111,16,2260,8790,1096,-67,6076,0
04:40,-41,2807,781,231,208,111,16,2260,8852,1119,-74,6031,0
04:45,-41,2808,781,231,208,111,16,2260,8899,1116,-67,6012,0
04:50,-41,2800,781,231,208,112,16,2261,8953,1112,-55,5999,0
04:55,-41,2779,781,230,208,112,16,2262,9045,1112,-68,6037,0
05:00,-41,2773,780,229,208,112,16,2261,9073,1108,-79,6104,0
05:05,-41,2776,781,230,208,112,18,2261,9007,1160,-41,6099,0
05:10,-41,2743,780,232,208,113,19,2261,9065,1172,-20,6180,0
05:15,-41,2709,781,231,208,112,19,2262,9122,1174,-15,6218,0
05:20,-42,2701,781,233,208,112,19,2262,9195,1172,-17,6177,0
05:25,-42,2666,781,234,207,112,19,2262,9248,1170,-17,6206,0
05:30,-42,2589,782,235,208,113,19,2263,9292,1169,-13,6295,0
05:35,-42,2528,781,235,208,113,16,2262,9505,1177,-6,6235,0
05:40,-42,2503,780,233,207,113,15,2262,9667,1172,-12,6245,0
05:45,-42,2500,781,234,208,113,15,2263,9817,1175,-16,6160,0
05:50,-42,2515,781,235,207,113,15,2263,9952,1173,-26,6131,0
05:55,-42,2492,782,235,208,113,15,2264,9973,1176,-31,6264,0
