Time,Day ahead forecast,Hour ahead forecast,Current demand
00:00,27664,26821,26740
00:05,26345,26427,26703
00:10,26345,26427,26634
00:15,26345,26427,26493
00:20,26345,26083,26358
00:25,26345,26083,26211
00:30,26345,26083,26066
00:35,26345,25595,25923
00:40,26345,25595,25819
00:45,26345,25595,25665
00:50,26345,25223,25513
00:55,26345,25223,25398
01:00,26345,25223,25268
01:05,24879,24922,25153
01:10,24879,24922,25085
01:15,24879,24922,24937
01:20,24879,24629,24835
01:25,24879,24629,24712
01:30,24879,24629,24582
01:35,24879,24271,24478
01:40,24879,24271,24388
01:45,24879,24271,24314
01:50,24879,24028,24211
01:55,24879,24028,24102
02:00,24879,24028,23989
02:05,23897,23808,23947
02:10,23897,23808,23914
02:15,23897,23808,23820
02:20,23897,23560,23768
02:25,23897,23560,23700
02:30,23897,23560,23645
02:35,23897,23402,23548
02:40,23897,23402,23461
02:45,23897,23402,23404
02:50,23897,23280,23348
02:55,23897,23280,23279
03:00,23897,23280,23237
03:05,23349,23185,23223
03:10,23349,23185,23189
03:15,23349,23185,23157
03:20,23349,23067,23127
03:25,23349,23067,23063
03:30,23349,23067,23035
03:35,23349,22974,23028
03:40,23349,22974,22986
03:45,23349,22974,22978
03:50,23349,23021,22947
03:55,23349,23021,22920
04:00,23349,23021,22922
04:05,23438,23118,22999
04:10,23438,23118,23060
04:15,23438,23118,23080
04:20,23438,23234,23105
04:25,23438,23234,23138
04:30,23438,23234,23153
04:35,23438,23324,23196
04:40,23438,23324,23243
04:45,23438,23324,23275
04:50,23438,23643,23281
04:55,23438,23643,23320
05:00,23438,23643,23407
05:05,24408,23961,23553
05:10,24408,23961,23706
05:15,24408,23961,23794
05:20,24408,24189,23878
05:25,24408,24189,23941
05:30,24408,24189,23990
05:35,24408,24426,24101
05:40,24408,24426,24233
05:45,24408,24426,24314
05:50,24408,25002,24398
05:55,24408,25002,24527
06:00,24408,25002,24644
06:05,25759,25408,25033
06:10,25759,25408,25325
06:15,25759,25408,25467
06:20,25759,25626,25530
06:25,25759,25626,25572
06:30,25759,25626,25617
06:35,25759,25830,25698
06:40,25759,25830,25728
06:45,25759,25830,25787
06:50,25759,26208,25842
06:55,25759,26208,25875
07:00,25759,26208,25919
07:05,26711,26430,26166
07:10,26711,26430,26402
07:15,26711,26430,26516
07:20,26711,26550,26532
07:25,26711,26550,26539
07:30,26711,26550,26570
07:35,26711,26670,26590
07:40,26711,26670,26606
07:45,26711,26670,26593
07:50,26711,26858,26623
07:55,26711,26858,26663
08:00,26711,26858,26691
08:05,27391,27028,26814
08:10,27391,27028,26891
08:15,27391,27028,26896
08:20,27391,27108,26930
08:25,27391,27108,26976
08:30,27391,27108,27024
08:35,27391,27118,27036
08:40,27391,27118,27079
08:45,27391,27118,27113
08:50,27391,27260,27143
08:55,27391,27260,27188
09:00,27391,27260,27205
09:05,27684,27443,27263
09:10,27684,27443,27291
09:15,27684,27443,27323
09:20,27684,27502,27381
09:25,27684,27502,27394
09:30,27684,27502,27393
09:35,27684,27608,27385
09:40,27684,27608,27413
09:45,27684,27608,27439
09:50,27684,27692,27473
09:55,27684,27692,27560
10:00,27684,27692,27628
10:05,28555,27887,27669
10:10,28555,27887,27693
